ServiceNo,Direction,StopSequence,Distance,BusStopCode
10,1,1,0,75009
10,1,2,0.6,76059
10,1,3,1.1,76069
10,1,4,2.3,96289
10,1,5,2.7,96109
10,1,6,3.3,85079
10,1,7,3.5,85089
10,1,8,3.8,85069
10,1,9,4.1,85059
10,1,10,4.5,85049
10,1,11,4.8,85039
10,1,12,5,85029
10,1,13,5.2,85019
10,1,14,5.5,94079
10,1,15,6.1,94069
10,1,16,6.4,94059
10,1,17,6.8,94049
10,1,18,7,94089
10,1,19,7.3,94039
10,1,20,7.7,94029
10,1,21,7.9,94019
10,1,22,8.3,93099
10,1,23,8.8,93089
10,1,24,9.1,93079
10,1,25,9.4,93069
10,1,26,9.8,93059
10,1,27,10.1,92159
10,1,28,10.4,92149
10,1,29,10.7,92139
10,1,30,11.2,92129
10,1,31,11.7,92119
10,1,32,11.9,92109
10,1,33,12.2,92099
10,1,34,12.7,92161
10,1,35,13.1,82071
10,1,36,13.9,81199
10,1,37,14.2,81189
10,1,38,14.7,81179
10,1,39,15.3,80141
10,1,40,16,80219
10,1,41,17.4,80169
10,1,42,18.1,80159
10,1,43,18.6,02119
10,1,44,19.6,03019
10,1,45,19.9,03059
10,1,46,20.3,03129
10,1,47,20.6,03217
10,1,48,21.5,05649
10,1,49,21.8,14061
10,1,50,22.3,14071
10,1,51,22.7,14081
10,1,52,23.1,14101
10,1,53,23.9,14141
10,1,54,24.2,14121
10,1,55,24.6,14131
10,1,56,25.1,14151
10,1,57,25.5,14161
10,1,58,25.9,14171
10,1,59,26.6,15141
10,1,60,26.9,15151
10,1,61,27.1,15161
10,1,62,27.6,15191
10,1,63,27.9,15201
10,1,64,28.5,15221
10,1,65,28.8,16201
10,1,66,29.1,16011
10,1,67,29.6,16021
10,1,68,29.9,16031
10,1,69,30.1,16041
10,1,70,30.4,16051
10,1,71,30.6,16061
10,1,72,30.8,16071
10,1,73,31.1,16081
10,1,74,31.6,16009
10,2,1,0,16009
10,2,2,0.4,16089
10,2,3,0.7,16079
10,2,4,1,16069
10,2,5,1.3,16059
10,2,6,1.5,16049
10,2,7,1.7,16039
10,2,8,2,16029
10,2,9,2.5,16019
10,2,10,2.7,16209
10,2,11,3,15229
10,2,12,3.2,15219
10,2,13,3.6,15209
10,2,14,3.9,15199
10,2,15,4.4,15169
10,2,16,4.6,15159
10,2,17,4.9,15149
10,2,18,5.3,14189
10,2,19,5.6,14179
10,2,20,6,14169
10,2,21,6.5,14159
10,2,22,6.9,14139
10,2,23,7.4,14129
10,2,24,7.7,14119
10,2,25,8.4,14109
10,2,26,8.8,14089
10,2,27,9.6,14069
10,2,28,10.2,05641
10,2,29,10.6,03222
10,2,30,11.3,03111
10,2,31,11.6,03071
10,2,32,11.9,03031
10,2,33,12.5,03011
10,2,34,13.1,02111
10,2,35,13.8,80151
10,2,36,14.5,80161
10,2,37,16.1,80211
10,2,38,16.7,80149
10,2,39,17.3,81171
10,2,40,17.8,81181
10,2,41,18.2,81191
10,2,42,18.7,82079
10,2,43,19.2,92169
10,2,44,19.7,92091
10,2,45,20,92101
10,2,46,20.2,92111
10,2,47,20.7,92121
