Postal,Latitude,Longtitude,Blk_no,Road_Name,Building,Address
821160,1.395312099,103.9157082,160A,PUNGGOL CENTRAL,NIL,160A PUNGGOL CENTRAL SINGAPORE 821160
822160,1.395225289,103.9160007,160B,PUNGGOL CENTRAL,NIL,160B PUNGGOL CENTRAL SINGAPORE 822160
821162,1.39636616,103.9142502,162A,PUNGGOL CENTRAL,NIL,162A PUNGGOL CENTRAL SINGAPORE 821162
821163,1.395500602,103.9140598,163A,PUNGGOL CENTRAL,NIL,163A PUNGGOL CENTRAL SINGAPORE 821163
822163,1.39563022,103.9137722,163B,PUNGGOL CENTRAL,NIL,163B PUNGGOL CENTRAL SINGAPORE 822163
821165,1.394998966,103.9147543,165A,PUNGGOL CENTRAL,NIL,165A PUNGGOL CENTRAL SINGAPORE 821165
822165,1.395128032,103.9144671,165B,PUNGGOL CENTRAL,NIL,165B PUNGGOL CENTRAL SINGAPORE 822165
821166,1.394448669,103.9155224,166A,PUNGGOL CENTRAL,NIL,166A PUNGGOL CENTRAL SINGAPORE 821166
822166,1.394578126,103.915235,166B,PUNGGOL CENTRAL,NIL,166B PUNGGOL CENTRAL SINGAPORE 822166
820188,1.398938692,103.9105385,188,PUNGGOL CENTRAL,NIL,188 PUNGGOL CENTRAL SINGAPORE 820188
820190,1.39924142,103.9100543,190,PUNGGOL CENTRAL,NIL,190 PUNGGOL CENTRAL SINGAPORE 820190
820192,1.399770926,103.9095143,192,PUNGGOL CENTRAL,NIL,192 PUNGGOL CENTRAL SINGAPORE 820192
821201,1.400085464,103.9035356,201A,PUNGGOL FIELD,NIL,201A PUNGGOL FIELD SINGAPORE 821201
822201,1.399978043,103.9038532,201B,PUNGGOL FIELD,NIL,201B PUNGGOL FIELD SINGAPORE 822201
823201,1.399331482,103.903712,201C,PUNGGOL FIELD,NIL,201C PUNGGOL FIELD SINGAPORE 823201
821202,1.399664223,103.9044956,202A,PUNGGOL FIELD,NIL,202A PUNGGOL FIELD SINGAPORE 821202
822202,1.399234781,103.9042775,202B,PUNGGOL FIELD,NIL,202B PUNGGOL FIELD SINGAPORE 822202
821203,1.398524282,103.9038627,203A,PUNGGOL FIELD,NIL,203A PUNGGOL FIELD SINGAPORE 821203
822203,1.398048415,103.9034765,203B,PUNGGOL FIELD,NIL,203B PUNGGOL FIELD SINGAPORE 822203
821204,1.398778276,103.9029109,204A,PUNGGOL FIELD,NIL,204A PUNGGOL FIELD SINGAPORE 821204
822204,1.398682245,103.9032111,204B,PUNGGOL FIELD,NIL,204B PUNGGOL FIELD SINGAPORE 822204
823204,1.398033215,103.9030726,204C,PUNGGOL FIELD,NIL,204C PUNGGOL FIELD SINGAPORE 823204
821205,1.39852262,103.9021117,205A,PUNGGOL FIELD,NIL,205A PUNGGOL FIELD SINGAPORE 821205
821301,1.404172163,103.9061861,301A,PUNGGOL CENTRAL,CORALINUS,301A PUNGGOL CENTRAL CORALINUS SINGAPORE 821301
821302,1.404423566,103.9044442,302A,PUNGGOL PLACE,CORALINUS,302A PUNGGOL PLACE CORALINUS SINGAPORE 821302
821303,1.403777894,103.9057622,303A,PUNGGOL CENTRAL,CORALINUS,303A PUNGGOL CENTRAL CORALINUS SINGAPORE 821303
822301,1.404265418,103.9058947,301B,PUNGGOL CENTRAL,CORALINUS,301B PUNGGOL CENTRAL CORALINUS SINGAPORE 822301
822302,1.404374931,103.904784,302B,PUNGGOL PLACE,CORALINUS,302B PUNGGOL PLACE CORALINUS SINGAPORE 822302
823301,1.404401623,103.9056638,301C,PUNGGOL CENTRAL,CORALINUS,301C PUNGGOL CENTRAL CORALINUS SINGAPORE 823301
823302,1.404720474,103.9049679,302C,PUNGGOL PLACE,CORALINUS,302C PUNGGOL PLACE CORALINUS SINGAPORE 823302
