ServiceNo,Direction,StopSequence,Distance,BusStopCode
117,1,1,0,65009
117,1,2,0.4,65259
117,1,3,0.7,65409
117,1,4,1.1,65141
117,1,5,1.3,65431
117,1,6,4.5,68111
117,1,7,5.1,68061
117,1,8,5.7,68091
117,1,9,6,68081
117,1,10,6.5,68101
117,1,11,6.9,68121
117,1,12,7.4,68161
117,1,13,8.2,68131
117,1,14,8.7,68141
117,1,15,9.1,68151
117,1,16,10.9,68171
117,1,17,11.4,59779
117,1,18,11.6,59789
117,1,19,12,59479
117,1,20,12.4,59759
117,1,21,12.8,59749
117,1,22,13.1,59739
117,1,23,13.6,59509
117,1,24,14.1,59729
117,1,25,14.9,59031
117,1,26,15.3,59041
117,1,27,15.7,59051
117,1,28,16.4,59061
117,1,29,16.8,59079
117,1,30,17.1,59091
117,1,31,17.7,59251
117,1,32,18.2,59521
117,1,33,18.5,58549
117,1,34,19.1,58261
117,1,35,19.5,58339
117,1,36,20,58211
117,1,37,20.3,58251
117,1,38,20.7,58009
117,2,1,0,58009
117,2,2,0.5,58259
117,2,3,0.8,58219
117,2,4,1.3,58331
117,2,5,1.8,58269
117,2,6,2.4,58541
117,2,7,2.7,59529
117,2,8,3.1,59259
117,2,9,3.6,59099
117,2,10,4.1,59073
117,2,11,4.3,59069
117,2,12,5,59059
117,2,13,5.5,59049
117,2,14,5.9,59039
117,2,15,6.7,59721
117,2,16,7.2,59501
117,2,17,7.6,59731
117,2,18,8,59741
117,2,19,8.3,59751
117,2,20,8.8,59471
117,2,21,9.1,59781
117,2,22,9.2,59771
117,2,23,9.8,68179
117,2,24,11.5,68159
117,2,25,12.1,68149
117,2,26,12.4,68139
117,2,27,13.2,68169
117,2,28,13.7,68129
117,2,29,14.1,68109
117,2,30,14.5,68089
117,2,31,14.8,68099
117,2,32,15.4,68069
117,2,33,16,68119
117,2,34,18.8,65439
117,2,35,19.2,65149
117,2,36,19.5,65401
117,2,37,20.2,65009
118,1,1,0,65009
118,1,2,0.4,65259
118,1,3,0.7,65409
118,1,4,1.1,65141
118,1,5,1.3,65431
118,1,6,2.6,65199
118,1,7,6.6,75359
118,1,8,7,75369
118,1,9,7.4,75319
118,1,10,7.9,75299
118,1,11,8.2,75379
118,1,12,8.5,75171
118,1,13,9,75159
118,1,14,9.4,75039
118,1,15,9.7,75241
118,1,16,10.1,75231
118,1,17,10.5,75221
118,1,18,11,75051
118,1,19,12.3,96289
118,1,20,12.7,96109
118,1,21,13.2,96119
118,1,22,13.8,96229
118,1,23,14.3,96311
118,1,24,14.6,96301
118,1,25,15.3,96401
118,1,26,16.1,97009
118,2,1,0,97009
118,2,2,0.9,96361
118,2,3,1.8,96309
118,2,4,2,96319
118,2,5,2.5,96221
118,2,6,3.1,96111
118,2,7,3.5,96101
118,2,8,3.9,96281
118,2,9,5.2,75059
118,2,10,5.6,75229
