BusStopCode,Description,Latitude,Longitude,RoadName
65141,Soo Teck Stn,1.40454805557377,103.89716388800268,Punggol Way
65149,Soo Teck Stn,1.40444046572287,103.89692479945528,Punggol Way
65151,Cove Stn Exit B,1.39885650320272,103.90662105241732,Punggol Field
65159,Cove Stn Exit A,1.39856872266182,103.90665292741664,Punggol Field
65161,Meridian Stn Exit B,1.39735631138291,103.90859112878573,Punggol Field
65169,Meridian Stn Exit A,1.39645725997371,103.90932129998102,Punggol Field
65171,Coral Edge Stn Exit B,1.39452041732154,103.91205304613206,Punggol Field
65179,Coral Edge Stn Exit A,1.39429582834351,103.91190241454986,Punggol Field
65181,Atf Punggol Ctrl,1.39681388886675,103.91754694442001,Punggol East
65189,Bef Punggol Ctrl,1.39682694447407,103.91793305556935,Punggol East
65201,Opp Blk 201A,1.40083471013366,103.903580214986,Punggol Field
65209,Aft Punggol Rd,1.40040560689368,103.90387509832152,Punggol Field
65231,Riviera Stn Exit B,1.3942824799683,103.91576531457447,Punggol East
65239,Riviera Stn Exit A,1.39410461413829,103.91603484855351,Punggol East
65241,Blk 196C,1.39917246521216,103.90767172209786,Edgefield Plains
65249,Blk 178,1.39963747797366,103.90824975943016,Edgefield Plains
65331,Opp Blk 268D,1.4028650002354,103.89851804993967,Punggol Field
65339,Blk 268C,1.4031330662473,103.8980438895579,Punggol Field
65341,Opp Blk 272C,1.40194694990354,103.9009230492748,Punggol Field
65349,Blk 272C,1.40222088604884,103.90077963354756,Punggol Field
65371,Blk 682A,1.40288670334271,103.91626762051331,Edgedale Plains
65379,Blk 661A,1.40280775893278,103.91633762054916,Edgedale Plains
65381,Punggol Sec Sch,1.40206799999564,103.90976700000783,Edgefield Plains
65389,Opp Punggol Sec Sch,1.40225699999819,103.91007199999862,Edgefield Plains
65391,Blk 672A,1.40587968028504,103.91251694444946,Edgefield Plains
65399,Blk 670A,1.40580472725369,103.91259546667418,Edgefield Plains
65411,Horizon Pr Sch,1.39944781445392,103.91384912994876,Edgefield Plains
65419,Opp Horizon Pr Sch,1.39946209125417,103.91395382625832,Edgefield Plains
65429,Greendale Pr Sch,1.39678724110144,103.912022758935,Edgefield Plains
65431,Twin Waterfalls,1.40238938083661,103.89673562171807,Punggol Way
65439,Aft TPE,1.40172529138051,103.89631809709375,Punggol Way
65441,Opp Blk 315B,1.40817769231202,103.89579264867245,Sumang Walk
65449,Blk 315B,1.40804081420589,103.89593121183572,Sumang Walk
65451,Blk 322 CP,1.41068999997892,103.89759188105812,Sumang Walk
65459,Opp Blk 322 CP,1.41060953055987,103.8977216527095,Sumang Walk
65491,Opp Blk 259 CP,1.40456320178872,103.89496045471951,Sumang Walk
65499,Blk 259 CP,1.40455142766372,103.89497063575236,Sumang Walk
65521,Waterwoods,1.39031766666667,103.912942666667,Punggol East
65529,Aft Punggol Field,1.39161433333333,103.914103333333,Punggol East
65531,Blk 226A,1.4024,103.8936,Sumang Lane
65539,Blk 224A,1.402291,103.8937,Sumang Lane
65551,Blk 227A,1.40374,103.8933695,Punggol Field
65559,Opposite Blk 227A,1.404046,103.8925,Punggol Field
65561,WATERWAY PR SCH,1.398808889,103.919085,Punggol East
65569,OPP WATERWAY PR SCH,1.398633889,103.9191989,Punggol East
65571,BLK 218,1.403478611,103.895535,Punggol Field
65579,BLK 258A,1.403556111,103.8960314,Punggol Field
65611,Nibong Stn Exit B,1.41138059190012,103.9003025582472,Punggol Way
65619,Nibong Stn Exit A,1.4115376363476,103.9000027461105,Punggol Way
65621,Samudera Stn Exit B,1.41608373162688,103.90248324948615,Punggol Way
65629,Samudera Stn Exit A,1.41645968650579,103.90252132088521,Punggol Way
65631,Aft Punggol Pt Stn,1.41730626833353,103.90541762051286,Punggol Way
65639,Bef Punggol Pt Stn,1.41755237944481,103.90530849057907,Punggol Way
02051,The Float @ Marina Bay,1.2895030556082,103.85903388899317,Raffles Ave
02061,The Esplanade,1.2899638888957,103.85640388886262,Raffles Ave
02099,Marina Ctr Ter,1.29147264805943,103.86148558380779,Raffles Blvd
02101,AFT S'PORE FLYER,1.28938483786533,103.86183148116275,Raffles Ave
03071,OPP SO SOFITEL S'PORE,1.27990609626764,103.84940030424481,Robinson Rd
03111,Aft Capital Twr,1.2778259536079,103.8481011719729,Robinson Rd
03129,UIC Bldg,1.27807003532092,103.84956718123823,Shenton Way
03218,Opp MAS Bldg,1.2740788888387,103.84687388890413,Shenton Way
03241,Mapletree Anson,1.27456,103.84537,Anson Rd
03381,The Sail,1.28162601329006,103.85306513725685,Marina Blvd
03391,Marina Bay Financial Ctr,1.28037660340352,103.85498006767988,Marina Blvd
03529,Downtown Stn,1.27939957419063,103.85278769921703,Central Blvd
03539,Marina Bay Stn,1.2775330547661,103.85561610012866,Central Blvd
04167,City Hall Stn Exit B,1.29250006522444,103.85145315468638,Nth Bridge Rd
04211,Clarke Quay,1.29043611099357,103.84712444398055,River Valley Rd
04222,Clarke Quay Stn Exit E,1.28898962180798,103.84708976365569,Eu Tong Sen St
04249,Opp The Treasury,1.29043039362749,103.85026216508201,Nth Bridge Rd
