blk_no,street,road_name,address,latiude,longtitude,postal
101B,PUNGGOL FIELD,PUNGGOL FIELD,101B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822101,1.397847151,103.9064361,822101
101B,PUNGGOL FIELD,PUNGGOL FIELD,101B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822101,1.397847151,103.9064361,822101
101,PUNGGOL FIELD,PUNGGOL FIELD,101 PUNGGOL FIELD MULTI STOREY CAR PARK SINGAPORE 820101,1.398481661,103.9058081,820101
101A,PUNGGOL FIELD,PUNGGOL FIELD,101A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821101,1.397946168,103.9059451,821101
101C,PUNGGOL FIELD,PUNGGOL FIELD,101C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823101,1.398090458,103.9065693,823101
101D,PUNGGOL FIELD,PUNGGOL FIELD,101D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824101,1.398484785,103.9061439,824101
102,PUNGGOL FIELD,PUNGGOL FIELD,102A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821102,1.398833183,103.9057836,821102
102A,PUNGGOL FIELD,PUNGGOL FIELD,102A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821102,1.398833183,103.9057836,821102
102B,PUNGGOL FIELD,PUNGGOL FIELD,102B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822102,1.399085258,103.9054714,822102
102C,PUNGGOL FIELD,PUNGGOL FIELD,102C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823102,1.398761278,103.904939,823102
102D,PUNGGOL FIELD,PUNGGOL FIELD,102D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824102,1.398480708,103.9052498,824102
103,EDGEFIELD PLAINS,EDGEFIELD PLAINS,103A EDGEFIELD PLAINS SINGAPORE 821103,1.398255318,103.904754,821103
103A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,103A EDGEFIELD PLAINS SINGAPORE 821103,1.398255318,103.904754,821103
103B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,103B EDGEFIELD PLAINS SINGAPORE 822103,1.397731275,103.9046854,822103
103C,EDGEFIELD PLAINS,EDGEFIELD PLAINS,103C EDGEFIELD PLAINS SINGAPORE 823103,1.397266608,103.9045384,823103
104A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,104A EDGEFIELD PLAINS SINGAPORE 821104,1.396805705,103.9050542,821104
104B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,104B EDGEFIELD PLAINS SINGAPORE 822104,1.396608862,103.9053038,822104
105,EDGEFIELD PLAINS,EDGEFIELD PLAINS,105 EDGEFIELD PLAINS MULTI STOREY CAR PARK SINGAPORE 820105,1.397229386,103.9055909,820105
105A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,105A EDGEFIELD PLAINS SINGAPORE 821105,1.396941332,103.9057295,821105
105B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,105B EDGEFIELD PLAINS SINGAPORE 822105,1.397206464,103.9060023,822105
105C,EDGEFIELD PLAINS,EDGEFIELD PLAINS,105C EDGEFIELD PLAINS SINGAPORE 823105,1.397672035,103.9055988,823105
105D,EDGEFIELD PLAINS,EDGEFIELD PLAINS,105D EDGEFIELD PLAINS SINGAPORE 824105,1.397175309,103.9052296,824105
106,PUNGGOL FIELD,PUNGGOL FIELD,106 PUNGGOL FIELD SINGAPORE 820106,1.396391853,103.9082918,820106
106A,PUNGGOL FIELD,PUNGGOL FIELD,106A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821106,1.396604861,103.9083441,821106
106B,PUNGGOL FIELD,PUNGGOL FIELD,106B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822106,1.397094532,103.9079554,822106
106C,PUNGGOL FIELD,PUNGGOL FIELD,106C PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 823106,1.397366642,103.9075622,823106
106D,PUNGGOL FIELD,PUNGGOL FIELD,106D PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 824106,1.397626067,103.9073581,824106
107,PUNGGOL FIELD,PUNGGOL FIELD,107 PUNGGOL FIELD SINGAPORE 820107,1.396934565,103.9077067,820107
107A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,107A EDGEFIELD PLAINS SINGAPORE 821107,1.397198794,103.9068258,821107
107B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,107B EDGEFIELD PLAINS SINGAPORE 822107,1.396837235,103.9072482,822107
107C,EDGEFIELD PLAINS,EDGEFIELD PLAINS,107C EDGEFIELD PLAINS SINGAPORE 823107,1.396621521,103.9076007,823107
107D,EDGEFIELD PLAINS,EDGEFIELD PLAINS,107D EDGEFIELD PLAINS SINGAPORE 824107,1.396238035,103.9080073,824107
108,PUNGGOL FIELD,PUNGGOL FIELD,108 PUNGGOL FIELD SINGAPORE 820108,1.396498616,103.9088663,820108
109,PUNGGOL FIELD,PUNGGOL FIELD,109 PUNGGOL FIELD SINGAPORE 820109,1.395438127,103.9095324,820109
109A,EDGEDALE PLAINS,EDGEDALE PLAINS,109A EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 821109,1.394721864,103.9098738,821109
109B,EDGEDALE PLAINS,EDGEDALE PLAINS,109B EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 822109,1.394956962,103.9096342,822109
109C,EDGEDALE PLAINS,EDGEDALE PLAINS,109C EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 823109,1.39517272,103.9092816,823109
109D,EDGEDALE PLAINS,EDGEDALE PLAINS,109D EDGEDALE PLAINS HDB-PUNGGOL SINGAPORE 824109,1.395529913,103.9088596,824109
110,PUNGGOL FIELD,PUNGGOL FIELD,110 PUNGGOL FIELD SINGAPORE 820110,1.395908522,103.9088823,820110
110A,PUNGGOL FIELD,PUNGGOL FIELD,110A PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 821110,1.396124003,103.9092837,821110
110B,PUNGGOL FIELD,PUNGGOL FIELD,110B PUNGGOL FIELD HDB-PUNGGOL SINGAPORE 822110,1.395660239,103.909627,822110
